smarthome_id	VendorName	Vendor Websites	Policy Link On Website
295	kronaby	https://us.kronaby.com/	https://us.kronaby.com/content/index.php?id_cms=11&controller=cms
296	kuled	https://kuled.com/	https://kuled.com/policy/
297	getkuna	https://getkuna.com/	https://getkuna.com/privacy-policy
298	kwikset	https://www.kwikset.com/	https://www.kwikset.com/privacy
299	lametric	https://lametric.com/	https://master-7rqtwti-crigt5kj6xmee.eu-2.platformsh.site/legal/privacy-policy
300	larkkey	https://www.larkkey.com/	https://www.larkkey.com/privacy.html
301	larnitech	https://www.larnitech.com/	None
302	lasco	https://www.lasco.com.ph/product/smart-bulb/	None
303	lepro	https://www.lepro.com/	https://www.lepro.com/privacy
304	leadleds	http://www.leadleds.com/	http://www.leadleds.com/privacy-policy.html
305	leaksmart	https://leaksmart.com/	https://leaksmart.com/privacy-policy/
306	lennox	https://www.lennox.com/	https://www.lennoxinternational.com/home/Home/privacy.html
307	leviton	https://www.leviton.com/en	https://www.leviton.com/en/privacy-policy
308	levoit	https://www.levoit.com/	https://www.levoit.com/privacy-policy
309	lg	https://www.lg.com/us	https://www.lg.com/us/privacy
310	life360	https://www.life360.com/	https://www.life360.com/privacy_policy/
311	deltadore	https://www.deltadore.co.uk	https://www.deltadore.co.uk/website-application-terms-and-conditions-of-use
312	lifeshield	https://www.lifeshield.com/	https://www.lifeshield.com/privacy-policy/
313	ilifesmart	http://www.ilifesmart.com/	None
314	lifx	https://www.lifx.com/	https://www.lifx.com/pages/privacy-policy
315	lighteu	https://lighteu.de/?lang=en	None
316	lightwaverf	https://lightwaverf.com/	https://lightwaverf.com/pages/privacy-policy
317	lingansmart	http://www.lingansmart.com/?_l=en	None
318	link2home	https://www.link2home.com/	https://www.link2home.com/data-privacy
319	linkdesk	https://www.linkdesk.com/	https://www.linkdesk.com/privacy-policy/
320	linksys	https://www.linksys.com/us/	https://www.linksys.com/us/privacy-policy/
321	linn	https://www.linn.co.uk/	https://www.linn.co.uk/privacy
322	litakeled	https://www.litakeled.com/	https://www.litakeled.com/policies/privacy-policy
323	litter-robot	https://www.litter-robot.com/	https://www.litter-robot.com/legal.html
324	livisi	https://www.livisi.de/en/	https://www.livisi.de/de/datenschutz/
325	lockitron	http://lockitron.com/	http://lockitron.com/privacy
327	lohas-led	https://www.lohas-led.com/	None
328	ilombex	https://www.ilombex.com/	https://www.ilombex.com/pages/privacy-policy
329	lorextechnology	https://www.lorextechnology.com/	https://www.lorextechnology.com/policies/privacy-policy/R-sc2500030
330	luffanet	https://www.luffanet.com/	https://www.luffanet.com/cloudPrivacyPolicy.html
331	luftdaten	https://luftdaten.info/en/home-en/	https://luftdaten.info/datenschutzerklaerung/
332	lumary	http://www.lumary.tech/	None
333	lumenty	https://www.lumenty.com/	https://www.lumenty.com/privacy-policy
334	lutron	http://www.lutron.com/en-US/pages/default.aspx	http://www.lutron.com/PrivacyPolicy
335	luxproducts	https://www.luxproducts.com/	https://www.luxproducts.com/Privacy
336	magiclightbulbs	https://www.magiclightbulbs.com/	https://www.magiclightbulbs.com/pages/privacy-policy
337	makihome	https://makihome.vn:443/	https://makihome.vn/home/dieu-khoan-chinh-sach/
338	mansaa	https://www.mansaa.io/	https://www.mansaa.io/app-privacy-policy/
339	manything	https://manything.com/	https://manything.com/privacy.html
340	markevina	https://markevina.en.made-in-china.com/	https://www.made-in-china.com/help/policy/
341	tmmatrix	http://www.tmmatrix.com/	None
342	smart-home-max	https://smart-home-max.com/	https://smart-home-max.com/privacy-policy
343	maxonar	https://maxonar.com/	None
344	mediola	https://www.mediola.com/	https://www.mediola.com/datenschutzrichtlinien
345	melcloud	http://www.melcloud.com/	http://emea.mitsubishielectric.com/en/utilities/privacy/index.page
346	meraki	https://meraki.cisco.com/	https://meraki.cisco.com/support/#policies:privacy
347	mercatorsmart	https://mercatorsmart.com/	https://mercatorsmart.com/privacy-policy/
348	meross	https://www.meross.com:443/	http://meross-static.s3.amazonaws.com/production/h5/feedback/meross/privacy_policy.html?appLanguage=en
349	meshsmart	http://meshsmart.com/	None
350	meshare	https://www.meshare.com/	https://www.meshare.com/privacy-policy/
351	mesmart	http://mesmart.cc/	http://mesmart.cc/html/legal.html
352	micronature	http://www.micronature.cn/	None
